time	V(vds)
0.000000000000000e+000	4.847487e-003
1.004000000000196e-006	4.852236e-003
1.005000000000103e-006	4.799862e-003
1.005040604727583e-006	4.745178e-003
1.005121814182325e-006	4.548026e-003
1.005284233092027e-006	4.219078e-003
1.005540031578153e-006	3.841985e-003
1.005979040458183e-006	3.434049e-003
1.006390163991403e-006	3.236177e-003
1.006959379456314e-006	3.157787e-003
1.007651764798083e-006	3.226533e-003
1.008081022475012e-006	3.380791e-003
1.008388965491585e-006	3.608777e-003
1.008613805331474e-006	3.913762e-003
1.008782251346639e-006	4.322594e-003
1.008913620315077e-006	4.886763e-003
1.009016001573063e-006	5.665327e-003
1.009100826854410e-006	6.810203e-003
1.009176738328349e-006	8.634095e-003
1.009255002348396e-006	1.183421e-002
1.009336259478978e-006	1.703138e-002
1.009446059148334e-006	2.653712e-002
1.009564245430927e-006	3.856744e-002
1.009821713438344e-006	6.677457e-002
1.010000000000073e-006	8.638082e-002
1.010053485968549e-006	9.257337e-002
1.010124800593327e-006	1.012366e-001
1.010267429842667e-006	1.199979e-001
1.010552688341347e-006	1.616024e-001
1.010876910516713e-006	2.138056e-001
1.011047992829309e-006	2.436136e-001
1.011155446710606e-006	2.632556e-001
1.011290136812343e-006	2.884400e-001
1.011451502321188e-006	3.190537e-001
1.011604500198793e-006	3.483946e-001
1.011757604372447e-006	3.779713e-001
1.011912786944751e-006	4.080867e-001
1.012083101417345e-006	4.412356e-001
1.012269728384915e-006	4.776281e-001
1.012484852047288e-006	5.196282e-001
1.012734729749368e-006	5.684502e-001
1.013042495283346e-006	6.286101e-001
1.013431972241193e-006	7.047644e-001
1.014742277405476e-006	9.610572e-001
1.025456563118769e-006	3.061263e+000
1.036170848832062e-006	5.167265e+000
1.046885134545355e-006	7.279063e+000
1.057599420258647e-006	9.396657e+000
1.068313705971940e-006	1.152005e+001
1.079027991685233e-006	1.364923e+001
1.089742277398526e-006	1.578422e+001
1.103742277397228e-006	1.857654e+001
1.117742277395931e-006	2.137167e+001
1.131742277394633e-006	2.416959e+001
1.145742277393336e-006	2.697032e+001
1.159742277392038e-006	2.977386e+001
1.173742277390741e-006	3.258019e+001
1.187742277389443e-006	3.538933e+001
1.192313705960448e-006	3.630501e+001
1.196885134531453e-006	3.723876e+001
1.201456563102458e-006	3.819056e+001
1.206027991673463e-006	3.916042e+001
1.210599420244468e-006	4.014834e+001
1.215170848815473e-006	4.115432e+001
1.219742277386478e-006	4.217836e+001
1.221885134529136e-006	4.267634e+001
1.224027991671795e-006	4.319270e+001
1.226170848814453e-006	4.372742e+001
1.228313705957112e-006	4.428051e+001
1.230456563099771e-006	4.485196e+001
1.232599420242429e-006	4.544178e+001
1.234742277385088e-006	4.604996e+001
1.236599420242058e-006	4.660348e+001
1.238456563099029e-006	4.718080e+001
1.240313705956000e-006	4.778192e+001
1.242170848812971e-006	4.840685e+001
1.244027991669941e-006	4.905559e+001
1.245885134526912e-006	4.972813e+001
1.247742277383883e-006	5.042448e+001
1.250599420240761e-006	5.155656e+001
1.253456563097639e-006	5.271288e+001
1.256313705954517e-006	5.389343e+001
1.259170848811395e-006	5.509821e+001
1.262027991668273e-006	5.632723e+001
1.264885134525151e-006	5.758047e+001
1.267742277382029e-006	5.885796e+001
1.273599420238629e-006	6.146583e+001
1.279456563095229e-006	6.407348e+001
1.285313705951829e-006	6.668090e+001
1.291170848808430e-006	6.928808e+001
1.297027991665030e-006	7.189504e+001
1.302885134521630e-006	7.450177e+001
1.308742277378230e-006	7.710826e+001
1.321170848805649e-006	8.259626e+001
1.333599420233069e-006	8.810787e+001
1.346027991660489e-006	9.364307e+001
1.358456563087908e-006	9.920188e+001
1.370885134515328e-006	1.047843e+002
1.383313705942747e-006	1.103903e+002
1.395742277370167e-006	1.160199e+002
1.407313705940523e-006	1.212932e+002
1.418885134510879e-006	1.267420e+002
1.430456563081236e-006	1.323662e+002
1.442027991651592e-006	1.381658e+002
1.453599420221948e-006	1.441409e+002
1.465170848792304e-006	1.502913e+002
1.476742277362660e-006	1.566173e+002
1.484742277361919e-006	1.612324e+002
1.492742277361178e-006	1.659889e+002
1.500742277360436e-006	1.708867e+002
1.508742277359695e-006	1.759259e+002
1.516742277358953e-006	1.811065e+002
1.524742277358212e-006	1.864284e+002
1.532742277357471e-006	1.918916e+002
1.542599420213700e-006	1.988491e+002
1.552456563069929e-006	2.057145e+002
1.562313705926158e-006	2.124877e+002
1.572170848782388e-006	2.191687e+002
1.582027991638617e-006	2.257576e+002
1.591885134494847e-006	2.322544e+002
1.601742277351076e-006	2.386590e+002
1.618027991635281e-006	2.485738e+002
1.634313705919486e-006	2.574915e+002
1.650599420203691e-006	2.654121e+002
1.666885134487896e-006	2.723356e+002
1.683170848772101e-006	2.782621e+002
1.699456563056306e-006	2.831914e+002
1.715742277340511e-006	2.871237e+002
1.722313705911330e-006	2.883513e+002
1.728885134482150e-006	2.893945e+002
1.735456563052970e-006	2.902530e+002
1.742027991623789e-006	2.909271e+002
1.748599420194609e-006	2.914166e+002
1.755170848765428e-006	2.917216e+002
